# UCSC assembly synonyms are not reliable, as there are entries
# which actually do have them, bos_taurus (bosTau6)
anas_platyrhynchos	BGI_duck_1.0	GCA_000355885.1	
anolis_carolinensis	AnoCar2.0	GCA_000090745.1	anoCar2
astyanax_mexicanus	AstMex102	GCA_000372685.1	
bos_taurus	UMD3.1	GCA_000003055.3	
caenorhabditis_elegans	WBcel235	GCA_000002985.3	
callithrix_jacchus	C_jacchus3.2.1	GCA_000004665.1	calJac3
canis_familiaris	CanFam3.1	GCA_000002285.2	canFam3
cavia_porcellus	cavPor3		cavPor3
chlorocebus_sabaeus	ChlSab1.1	GCA_000409795.2	
choloepus_hoffmanni	choHof1		choHof1
ciona_intestinalis	KH	GCA_000224145.1	ci2
ciona_savignyi	CSAV 2.0		
danio_rerio	GRCz10	GCA_000002035.3	danRer10
dasypus_novemcinctus	Dasnov3.0	GCA_000208655.2	dasNov3
dipodomys_ordii	dipOrd1		dipOrd1
drosophila_melanogaster	BDGP6	GCA_000001215.4	dm6
echinops_telfairi	TENREC		echTel1
equus_caballus	Equ Cab 2	GCA_000002305.1	equCab2
erinaceus_europaeus	eriEur1		eriEur1
felis_catus	Felis_catus_6.2	GCA_000181335.2	felCat5
ficedula_albicollis	FicAlb_1.4	GCA_000247815.1	
gadus_morhua	gadMor1		
gallus_gallus	Galgal4	GCA_000002315.2	galGal4
gasterosteus_aculeatus	BROAD S1		gasAcu1
gorilla_gorilla	gorGor3.1	GCA_000151905.1	gorGor3
homo_sapiens	GRCh38.p3	GCA_000001405.18	hg38
ictidomys_tridecemlineatus	spetri2	GCA_000236235.1	speTri2
latimeria_chalumnae	LatCha1	GCA_000225785.1	latCha1
lepisosteus_oculatus	LepOcu1	GCA_000242695.1	
loxodonta_africana	Loxafr3.0	GCA_000001905.1	loxAfr3
macaca_mulatta	MMUL 1.0		
macropus_eugenii	Meug_1.0	GCA_000004035.1	
meleagris_gallopavo	Turkey_2.01	GCA_000146605.1	melGal1
microcebus_murinus	micMur1		micMur1
monodelphis_domestica	monDom5	GCF_000002295.2	monDom5
mus_musculus	GRCm38.p4	GCA_000001635.6	mm10
mustela_putorius_furo	MusPutFur1.0	GCA_000215625.1	musFur1
myotis_lucifugus	Myoluc2.0	GCA_000147115.1	myoLuc2
nomascus_leucogenys	Nleu1.0	GCA_000146795.1	nomLeu1
ochotona_princeps	OchPri2.0		ochPri2
oreochromis_niloticus	Orenil1.0	GCA_000188235.1	
ornithorhynchus_anatinus	OANA5	GCF_000002275.2	
oryctolagus_cuniculus	OryCun2.0	GCA_000003625.1	oryCun2
oryzias_latipes	HdrR		
otolemur_garnettii	OtoGar3	GCA_000181295.3	otoGar3
ovis_aries	Oar_v3.1	GCA_000298735.1	oviAri3
pan_troglodytes	CHIMP2.1.4	GCA_000001515.4	panTro4
papio_anubis	PapAnu2.0	GCA_000264685.1	papAnu2
pelodiscus_sinensis	PelSin_1.0	GCA_000230535.1	
petromyzon_marinus	Pmarinus_7.0		petMar2
poecilia_formosa	Poecilia_formosa-5.1.2	GCA_000485575.1	
pongo_abelii	PPYG2	GCA_000001545.1	ponAbe2
procavia_capensis	proCap1		proCap1
pteropus_vampyrus	pteVam1		pteVam1
rattus_norvegicus	Rnor_6.0	GCA_000001895.4	rn6
saccharomyces_cerevisiae	R64-1-1	GCA_000146045.2	
sarcophilus_harrisii	Devil_ref v7.0	GCA_000189315.1	sarHar1
sorex_araneus	sorAra1		sorAra1
sus_scrofa	Sscrofa10.2	GCA_000003025.4	susScr3
taeniopygia_guttata	taeGut3.2.4		taeGut1
takifugu_rubripes	FUGU 4.0		fr2
tarsius_syrichta	tarSyr1		tarSyr1
tetraodon_nigroviridis	TETRAODON 8.0		tetNig2
tupaia_belangeri	tupBel1		tupBel1
tursiops_truncatus	turTru1		turTru1
vicugna_pacos	vicPac1		vicPac1
xenopus_tropicalis	JGI 4.2	GCA_000004195.1	xenTro3
xiphophorus_maculatus	Xipmac4.4.2	GCA_000241075.1	
