Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP041424	0	0	0	0	2	0	
ERP008794	0	0	0	0	1	0	
DRP002329	0	0	0	0	16	0	
SRP019502	0	0	0	0	4	0	
SRP013491	0	0	0	0	4	0	
SRP029729	0	0	0	0	2	0	
SRP065775	0	0	0	0	3	0	
SRP002106	0	0	0	0	34	0	
SRP038904	0	0	0	0	6	0	
SRP044814	0	0	0	0	6	0	
SRP009068	0	0	0	0	2	0	
SRP022925	0	0	0	0	4	0	
SRP043448	0	0	0	0	3	0	
SRP046270	0	0	0	0	10	0	
ERP008780	0	0	0	0	1	0	
SRP022165	0	0	0	0	4	0	
SRP040120	0	0	0	0	6	0	
SRP058799	0	0	0	0	6	0	
SRP056594	0	0	0	0	12	0	
trackHub	0	0	6	13	0	0	
SRP047445	0	0	0	0	4	0	
SRP065617	0	0	0	0	2	0	
SRP047517	0	0	0	0	11	0	
SRP033371	0	0	0	0	28	0	
ERP009798	0	0	0	0	18	0	
SRP050323	0	0	0	0	1	0	
SRP066057	0	0	0	0	3	0	
SRP058710	0	0	0	0	5	0	
SRP052559	0	0	0	0	4	0	
ERP008785	0	0	0	0	1	0	
SRP007110	0	0	0	0	1	0	
DRP001255	0	0	0	0	2	0	
SRP049993	0	0	0	0	18	0	
SRP014594	0	0	0	0	2	0	
SRP017578	0	0	0	0	19	0	
SRP017642	0	0	0	0	1	0	
ERP008767	0	0	0	0	9	0	
SRP043224	0	0	0	0	4	0	
SRP041113	0	0	0	0	10	0	
SRP041079	0	0	0	0	33	0	
SRP041507	0	0	0	0	82	0	
SRP029141	0	0	0	0	2	0	
SRP002588	0	0	0	0	1	0	
SRP026486	0	0	0	0	6	0	
SRP059884	0	0	0	0	21	0	
SRP042353	0	0	0	0	6	0	
SRP036640	0	0	0	0	28	0	
SRP050051	0	0	0	0	6	0	
ERP008788	0	0	0	0	1	0	
EDCC_BCGSC	0	0	28	884	0	0	
SRP032469	0	0	0	0	24	0	
ERP008808	0	0	0	0	1	0	
SRP045323	0	0	0	0	6	0	
SRP046998	0	0	0	0	20	0	
DRP002691	0	0	0	0	1	0	
SRP040660	0	0	0	0	9	0	
SRP066148	0	0	0	0	6	0	
SRP017478	0	0	0	0	1	0	
SRP061745	0	0	0	0	5	0	
SRP016843	0	0	0	0	4	0	
SRP037558	0	0	0	0	1	0	
SRP010324	0	0	0	0	8	0	
SRP021472	0	0	0	0	1	0	
SRP008837	0	0	0	0	4	0	
SRP043981	0	0	0	0	10	0	
SRP016018	0	0	0	0	4	0	
SRP046088	0	0	0	0	6	0	
SRP001787	0	0	0	0	20	0	
SRP011560	0	0	0	0	16	0	
SRP052302	0	0	0	0	15	0	
SRP054163	0	0	0	0	4	0	
SRP018228	0	0	0	0	12	0	
ERP005857	0	0	0	0	3	0	
SRP045669	0	0	0	0	14	0	
SRP065592	0	0	0	0	15	0	
SRP056884	0	0	0	0	33	0	
SRP051665	0	0	0	0	48	0	
SRP012153	0	0	0	0	8	0	
SRP011565	0	0	0	0	2	0	
SRP063423	0	0	0	0	4	0	
DRP002522	0	0	0	0	18	0	
SRP028962	0	0	0	0	1	0	
SRP047343	0	0	0	0	4	0	
SRP015433	0	0	0	0	24	0	
ERP008779	0	0	0	0	1	0	
SRP037745	0	0	0	0	6	0	
SRP049992	0	0	0	0	6	0	
SRP011435	0	0	0	0	4	0	
SRP050172	0	0	0	0	6	0	
SRP013756	0	0	0	0	4	0	
SRP040002	0	0	0	0	4	0	
SRP038912	0	0	0	0	3	0	
ERP008791	0	0	0	0	1	0	
SRP017324	0	0	0	0	14	0	
SRP038713	0	0	0	0	3	0	
UltraconservedElements	0	0	1	0	0	0	
SRP052226	0	0	0	0	15	0	
SRP008505	0	0	0	0	11	0	
SRP061678	0	0	0	0	3	0	
SRP041022	0	0	0	0	6	0	
SRP041704	0	0	0	0	94	0	
SRP033661	0	0	0	0	38	0	
SRP050012	0	0	0	0	36	0	
SRP011128	0	0	0	0	6	0	
SRP052987	0	0	0	0	6	0	
SRP048201	0	0	0	0	30	0	
SRP014794	0	0	0	0	2	0	
SRP047420	0	0	0	0	6	0	
TJ_Tabasco_hub	0	0	16	0	0	0	
SRP004925	0	0	0	0	16	0	
DRP000768	0	0	0	0	12	0	
SRP031623	0	0	0	0	6	0	
SRP063832	0	0	0	0	4	0	
SRP045932	0	0	0	0	24	0	
ERP010598	0	0	0	0	8	0	
SRP058076	0	0	0	0	8	0	
SRP014652	0	0	0	0	270	0	
SRP065945	0	0	0	0	474	0	
SRP039091	0	0	0	0	27	0	
SRP045409	0	0	0	0	14	0	
SRP044696	0	0	0	0	6	0	
ERP002347	0	0	0	0	2	0	
