ailmel1	GCA_000004335.1
allmis1	GCA_000281125.1
anocar2	GCA_000090745.1
apimel2	GCF_000002195.1
aplcal1	GCA_000002075.1
balacu1	GCA_000493695.1
bostau3	GCF_000003205.1
bostau4	GCF_000003205.2
bostau6	GCA_000003055.3
bostau7	GCA_000003205.4
bostau8	GCA_000003055.5
caepb2	GCA_000143925.1
caljac3	GCA_000004665.1
calmil1	GCA_000165045.2
canfam2	GCA_000002285.1
canfam3	GCA_000002285.2
cavpor3	GCA_000151735.1
cb3	GCA_000004555.2
ce10	GCA_000002985.2
cersim1	GCA_000283155.1
chohof1	GCA_000164785.1
chrpic1	GCA_000241765.1
ci1	GCA_000183065.1
ci2	GCA_000224145.1
crigri1	GCA_000419365.1
danrer10	GCA_000002035.3
danrer5	GCF_000002035.1
danrer6	GCA_000002035.1
danrer7	GCA_000002035.2
dasnov3	GCA_000208655.2
dipord1	GCA_000151885.1
dm3	GCA_000001215.2
dm6	GCA_000001215.4
droana3	GCA_000005115.1
droere2	GCA_000005135.1
drogri2	GCA_000005155.1
dromoj3	GCA_000005175.1
droper1	GCA_000005195.1
drosec1	GCA_000005215.1
drosim1	GCA_000259055.1
drovir3	GCA_000005245.1
echtel2	GCA_000313985.1
equcab2	GCA_000002305.1
erieur1	GCA_000181395.1
erieur2	GCA_000296755.1
felcat4	GCA_000003115.1
felcat5	GCA_000181335.2
fr3	GCA_000180615.2
gadmor1	GCA_000231765.1
galgal3	GCA_000002315.1
galgal4	GCA_000002315.2
gasacu1	GCA_000180675.1
geofor1	GCA_000277835.1
gorgor3	GCA_000151905.1
hetgla1	GCA_000230445.1
hetgla2	GCA_000247695.1
hg16	GCF_000001405.10
hg17	GCF_000001405.11
hg18	GCF_000001405.12
hg19	GCA_000001405.1
hg38	GCA_000001405.15
latcha1	GCA_000225785.1
loxafr3	GCA_000001905.1
maceug2	GCA_000004035.1
melgal1	GCA_000146605.2
melund1	GCA_000238935.1
micmur1	GCA_000165445.1
mm10	GCA_000001635.2
mm7	GCF_000001635.14
mm8	GCF_000001635.15
mm9	GCA_000001635.1
mondom5	GCF_000002295.2
musfur1	GCA_000215625.1
myoluc2	GCA_000147115.1
nomleu1	GCA_000146795.1
nomleu2	GCA_000146795.2
nomleu3	GCA_000146795.3
ochpri2	GCA_000164825.1
ochpri3	GCA_000292845.1
orenil2	GCA_000188235.2
ornana1	GCF_000002275.2
orycun2	GCA_000003625.1
otogar3	GCA_000181295.3
oviari3	GCA_000298735.1
pantro2	GCF_000001515.3
pantro3	GCA_000001515.3
pantro4	GCA_000001515.4
papanu2	GCA_000264685.1
petmar2	GCA_000148955.1
ponabe2	GCA_000001545.3
procap1	GCA_000152225.1
ptevam1	GCA_000151845.1
rhemac2	GCA_000002255.1
rhemac3	GCA_000230795.1
rn4	GCF_000001895.3
rn5	GCA_000001895.3
rn6	GCA_000001895.4
saccer3	GCA_000146045.2
saibol1	GCA_000235385.1
sarhar1	GCA_000189315.1
sorara1	GCA_000181275.1
sorara2	GCA_000181275.2
spetri2	GCA_000236235.1
strpur1	GCF_000002235.1
strpur2	GCF_000002235.2
susscr2	GCA_000003025.2
susscr3	GCA_000003025.4
taegut1	GCA_000151805.2
tarsyr1	GCA_000164805.1
tetnig1	GCA_000180735.1
triman1	GCA_000243295.1
turtru2	GCA_000151865.2
vicpac1	GCA_000164845.1
vicpac2	GCA_000164845.2
xentro3	GCA_000004195.1
